image,question,answers,answer_type,answerable
VizWiz_train_00010322.jpg,"Hello, what color is my sofa?","[{'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'yes', 'answer': 'black leather'}, {'answer_confidence': 'yes', 'answer': 'brown'}, {'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'maybe', 'answer': 'black'}, {'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'maybe', 'answer': 'brown'}, {'answer_confidence': 'yes', 'answer': 'black'}]",other,1
VizWiz_train_00011265.jpg,What is this for?,"[{'answer_confidence': 'yes', 'answer': 'indoor outdoor mini lights decoration'}, {'answer_confidence': 'yes', 'answer': 'mini lights indoor out door use'}, {'answer_confidence': 'yes', 'answer': 'christmas tree'}, {'answer_confidence': 'maybe', 'answer': 'decoration'}, {'answer_confidence': 'yes', 'answer': 'christmas lights used indoor outdoor'}, {'answer_confidence': 'yes', 'answer': 'christmas lights'}, {'answer_confidence': 'yes', 'answer': 'christmas tree'}, {'answer_confidence': 'yes', 'answer': 'indoor outdoor mini lights for christmas decorations'}, {'answer_confidence': 'yes', 'answer': 'mini lights'}, {'answer_confidence': 'yes', 'answer': 'mini lights'}]",other,1
VizWiz_train_00002307.jpg,What color socks are these?,"[{'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'maybe', 'answer': 'brown'}, {'answer_confidence': 'maybe', 'answer': 'black'}, {'answer_confidence': 'yes', 'answer': 'dark brown'}, {'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'yes', 'answer': 'black'}]",other,1
VizWiz_train_00005043.jpg,what dvd is this,"[{'answer': 'cant tell', 'answer_confidence': 'yes'}, {'answer': 'unsuitable', 'answer_confidence': 'yes'}, {'answer': 'unsuitable', 'answer_confidence': 'no'}, {'answer': 'unsuitable', 'answer_confidence': 'yes'}, {'answer': 'unsuitable', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'no dvd', 'answer_confidence': 'yes'}, {'answer': 'unsuitable', 'answer_confidence': 'yes'}, {'answer': 'no picture', 'answer_confidence': 'yes'}, {'answer': 'unsuitable', 'answer_confidence': 'no'}]",unanswerable,0
VizWiz_train_00017617.jpg,What does this say? What does this say?,"[{'answer_confidence': 'yes', 'answer': 'this picture blurry'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}]",unanswerable,0
VizWiz_train_00014683.jpg,Is this detergent or fabric softener?,"[{'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'detergent'}, {'answer_confidence': 'maybe', 'answer': 'fabric softener'}, {'answer_confidence': 'yes', 'answer': 'fabric softer'}, {'answer_confidence': 'maybe', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'maybe', 'answer': 'yes'}, {'answer_confidence': 'yes', 'answer': 'grain'}]",unanswerable,0
VizWiz_train_00008003.jpg,What's that?,"[{'answer_confidence': 'maybe', 'answer': 'radio'}, {'answer_confidence': 'yes', 'answer': 'this sony audio'}, {'answer_confidence': 'yes', 'answer': 'radio'}, {'answer_confidence': 'maybe', 'answer': 'stereo box'}, {'answer_confidence': 'yes', 'answer': 'receiver'}, {'answer_confidence': 'yes', 'answer': 'audio player'}, {'answer_confidence': 'no', 'answer': 'sony music box'}, {'answer_confidence': 'maybe', 'answer': 'sony speakers'}, {'answer_confidence': 'maybe', 'answer': 'sony audio box vcr'}, {'answer_confidence': 'maybe', 'answer': 'reciever'}]",other,1
VizWiz_train_00016640.jpg,What is in this bottle?,"[{'answer_confidence': 'yes', 'answer': 'juice'}, {'answer_confidence': 'yes', 'answer': 'nothing'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'candle'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'maybe', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'maybe', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}]",unanswerable,0
VizWiz_train_00011513.jpg,What is in this job please?,"[{'answer_confidence': 'yes', 'answer': 'sauce'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'tikka'}, {'answer_confidence': 'maybe', 'answer': 'tikka masala cooking sauce'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'tikka masala sauce'}, {'answer_confidence': 'yes', 'answer': 'tikka masala cooking sauce'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'tikka masala cooking sauce'}]",other,1
VizWiz_train_00019423.jpg,What color is this shirt?,"[{'answer': 'white', 'answer_confidence': 'maybe'}, {'answer': 'grey', 'answer_confidence': 'yes'}, {'answer': 'grey', 'answer_confidence': 'yes'}, {'answer': 'grey', 'answer_confidence': 'yes'}, {'answer': 'light grey', 'answer_confidence': 'yes'}, {'answer': 'grey', 'answer_confidence': 'yes'}, {'answer': 'grey', 'answer_confidence': 'yes'}, {'answer': 'grey', 'answer_confidence': 'yes'}, {'answer': 'light blue', 'answer_confidence': 'yes'}, {'answer': 'brown', 'answer_confidence': 'yes'}]",other,1
VizWiz_train_00017431.jpg,Is this shampoo or conditioner?,"[{'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'shampoo'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'maybe', 'answer': 'cant tell from image'}, {'answer_confidence': 'yes', 'answer': 'shampoo'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'shampoo'}]",unanswerable,0
VizWiz_train_00004537.jpg,What bug is this?,"[{'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'spider'}, {'answer_confidence': 'yes', 'answer': 'wefref'}, {'answer_confidence': 'no', 'answer': 'small bug'}, {'answer_confidence': 'yes', 'answer': 'bed bug'}, {'answer_confidence': 'yes', 'answer': 'tick'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'flea'}]",other,1
VizWiz_train_00007407.jpg,What is this can in my left?,"[{'answer_confidence': 'yes', 'answer': 'diet pepsi'}, {'answer_confidence': 'yes', 'answer': 'diet pepsi'}, {'answer_confidence': 'yes', 'answer': 'pepsi'}, {'answer_confidence': 'yes', 'answer': 'diet pepsi'}, {'answer_confidence': 'yes', 'answer': 'diet pepsi'}, {'answer_confidence': 'yes', 'answer': 'diet pepsi'}, {'answer_confidence': 'yes', 'answer': 'diet pepsi'}, {'answer_confidence': 'yes', 'answer': 'diet pepsi'}, {'answer_confidence': 'yes', 'answer': 'diet pepsi'}, {'answer_confidence': 'maybe', 'answer': 'pepsi drink'}]",other,1
VizWiz_train_00002750.jpg,What is the black thing?,"[{'answer_confidence': 'yes', 'answer': 'stapler'}, {'answer_confidence': 'yes', 'answer': 'stapler'}, {'answer_confidence': 'yes', 'answer': 'stapler'}, {'answer_confidence': 'yes', 'answer': 'stapler'}, {'answer_confidence': 'yes', 'answer': 'stapler'}, {'answer_confidence': 'yes', 'answer': 'stapler'}, {'answer_confidence': 'yes', 'answer': 'stapler'}, {'answer_confidence': 'yes', 'answer': 'stapler'}, {'answer_confidence': 'yes', 'answer': 'stapler'}, {'answer_confidence': 'yes', 'answer': 'stapler'}]",other,1
VizWiz_train_00017211.jpg,Can you tell me what this is a picture of?,"[{'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'insufficient image'}, {'answer_confidence': 'maybe', 'answer': 'file'}, {'answer_confidence': 'yes', 'answer': 'table computer'}, {'answer_confidence': 'maybe', 'answer': 'tv'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'tv'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'maybe', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'screen'}]",other,1
VizWiz_train_00004043.jpg,How full is this bottle?,"[{'answer_confidence': 'yes', 'answer': 'half'}, {'answer_confidence': 'yes', 'answer': 'slightly over half'}, {'answer_confidence': 'yes', 'answer': 'mostly full'}, {'answer_confidence': 'maybe', 'answer': 'empty'}, {'answer_confidence': 'yes', 'answer': 'half'}, {'answer_confidence': 'yes', 'answer': 'nailpalice'}, {'answer_confidence': 'yes', 'answer': 'halfway'}, {'answer_confidence': 'yes', 'answer': 'half'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'half'}]",other,1
VizWiz_train_00008498.jpg,What's inside my window?,"[{'answer_confidence': 'yes', 'answer': 'screen'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'tree car'}, {'answer_confidence': 'yes', 'answer': 'tree'}, {'answer_confidence': 'yes', 'answer': 'screen'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'screen'}, {'answer_confidence': 'yes', 'answer': 'screen'}, {'answer_confidence': 'no', 'answer': 'tree car'}, {'answer_confidence': 'yes', 'answer': 'screen'}]",other,1
VizWiz_train_00013429.jpg,Whats in this can?,"[{'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'maybe', 'answer': 'coffee'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'maybe', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}]",unanswerable,0
VizWiz_train_00014594.jpg,what is in this package?,"[{'answer_confidence': 'maybe', 'answer': 'saw'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'cell phone'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}]",unanswerable,0
VizWiz_train_00023543.jpg,what kind of jam is this?,"[{'answer': 'sweet orange marmalade', 'answer_confidence': 'yes'}, {'answer': 'sweet orange marmalade', 'answer_confidence': 'yes'}, {'answer': 'sweet orange', 'answer_confidence': 'yes'}, {'answer': 'sweet dream mandarin', 'answer_confidence': 'yes'}, {'answer': 'sweet orange', 'answer_confidence': 'maybe'}, {'answer': 'orange', 'answer_confidence': 'yes'}, {'answer': 'orange marmalade', 'answer_confidence': 'maybe'}, {'answer': 'orange', 'answer_confidence': 'yes'}, {'answer': 'smuckers orange marmalade', 'answer_confidence': 'yes'}, {'answer': 'sweet orange mandarin', 'answer_confidence': 'yes'}]",other,1
VizWiz_train_00007710.jpg,What brand is this DVD writer? Does it say it on the box?,"[{'answer_confidence': 'yes', 'answer': 'no'}, {'answer_confidence': 'yes', 'answer': 'no'}, {'answer_confidence': 'yes', 'answer': 'hp'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'lightscribe'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}]",unanswerable,0
VizWiz_train_00007871.jpg,What is this item? We got a question.,"[{'answer': 'unsuitable', 'answer_confidence': 'yes'}, {'answer': 'unsuitable', 'answer_confidence': 'yes'}, {'answer': 'unsuitable', 'answer_confidence': 'maybe'}, {'answer': 'remote', 'answer_confidence': 'yes'}, {'answer': 'camera', 'answer_confidence': 'no'}, {'answer': 'cellphone', 'answer_confidence': 'yes'}, {'answer': 'phone', 'answer_confidence': 'yes'}, {'answer': 'phone', 'answer_confidence': 'maybe'}, {'answer': 'phone', 'answer_confidence': 'yes'}, {'answer': 'remote control', 'answer_confidence': 'yes'}]",other,1
VizWiz_train_00008103.jpg,What color bottle is this? ,"[{'answer_confidence': 'maybe', 'answer': 'brown'}, {'answer_confidence': 'yes', 'answer': 'black'}, {'answer_confidence': 'yes', 'answer': 'brown'}, {'answer_confidence': 'yes', 'answer': 'brown'}, {'answer_confidence': 'maybe', 'answer': 'bettershots'}, {'answer_confidence': 'yes', 'answer': 'brown'}, {'answer_confidence': 'maybe', 'answer': 'brown'}, {'answer_confidence': 'yes', 'answer': 'brown'}, {'answer_confidence': 'yes', 'answer': 'brown'}, {'answer_confidence': 'yes', 'answer': 'brown'}]",other,1
VizWiz_train_00008979.jpg,what is it?,"[{'answer_confidence': 'yes', 'answer': 'lamp'}, {'answer_confidence': 'yes', 'answer': 'lamp'}, {'answer_confidence': 'yes', 'answer': 'lamp'}, {'answer_confidence': 'yes', 'answer': 'lamp'}, {'answer_confidence': 'yes', 'answer': 'lamp'}, {'answer_confidence': 'yes', 'answer': 'lamp'}, {'answer_confidence': 'yes', 'answer': 'lamp'}, {'answer_confidence': 'yes', 'answer': 'bedside lamp'}, {'answer_confidence': 'yes', 'answer': 'lamp'}, {'answer_confidence': 'yes', 'answer': 'lamp'}]",other,1
VizWiz_train_00003194.jpg,What do you see? describe to me what do you see.,"[{'answer_confidence': 'maybe', 'answer': 'boxes totes stacked on top 1 another chair cabinet mirror'}, {'answer_confidence': 'maybe', 'answer': 'chair'}, {'answer_confidence': 'maybe', 'answer': 'chair'}, {'answer_confidence': 'yes', 'answer': 'chair dresser files papers plastic storage container'}, {'answer_confidence': 'yes', 'answer': 'green organizer dresser books on top brown chair'}, {'answer_confidence': 'yes', 'answer': 'green drawers dresser wood chair laptop'}, {'answer_confidence': 'yes', 'answer': 'chair'}, {'answer_confidence': 'yes', 'answer': 'desk totes dresser'}, {'answer_confidence': 'maybe', 'answer': 'chair in front chest drawers'}, {'answer_confidence': 'yes', 'answer': 'chair dresser'}]",other,1
VizWiz_train_00018433.jpg,What's the label on this box please? ,"[{'answer_confidence': 'yes', 'answer': 'great value instant oatmeal'}, {'answer_confidence': 'yes', 'answer': 'great value original instant oatmeal'}, {'answer_confidence': 'yes', 'answer': 'original instant oatmeal'}, {'answer_confidence': 'yes', 'answer': 'great value original instant oatmeal'}, {'answer_confidence': 'yes', 'answer': 'great value instant oatmeal'}, {'answer_confidence': 'maybe', 'answer': 'instant oatmeal'}, {'answer_confidence': 'yes', 'answer': 'great value'}, {'answer_confidence': 'yes', 'answer': 'great value original instant oatmeal'}, {'answer_confidence': 'yes', 'answer': 'great value original oatmeal'}, {'answer_confidence': 'yes', 'answer': 'great value original instant oatmeal'}]",other,1
